Job title,Job company,job salary,posted,Job_location,Job link,Job requirements,job description
Quality Control Manager,ICPM ,Not preview,21 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/ICPM-Egypt-109827,Construction,Not provided
MTS Enterprise Annual Bootcamp 2026 - Quality Control,MTSIT ,Not preview,18 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/MTS-IT-Egypt-13141,Construction Management,Not provided
Quality Control Engineer – Food Manufacturing (Concentrates),UNITED FOOD INDUSTRY Group ,Not preview,28 days ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/UNITED-FOOD-INDUSTRY-Group-Egypt-41200,quality,Not provided
Quality Control Engineer,Koudijs Kapo Feed ,Not preview,29 days ago,"Bourj Alarab, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Koudijs-Kapo-Feed-Egypt-39036,Management,Not provided
Quality Control Manager,K Line Europe ,Not preview,1 month ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-92966,MS Office,Not provided
Quality Control Engineer,Decotam  ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Decotam-Egypt-133799,Full Time,Not provided
Quality Control Manager,EGIC ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/EGIC-10893,On-site,Not provided
Quality Control Manager,Big Fat Dough ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/big-fat-dogh-egypt-139409,Entry Level,Not provided
Senior Software Quality Control Engineer,BITechnologies ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,Other,Not provided
Quality Control Engineer,Delta Egypt For Lighting  ,Not preview,1 month ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Delta-Egypt-Foreign-Trade-Egypt-5797,Quality,Not provided
Quality Control and Food Safety Specialist,Raghaeb for managing restaurants (ABU TAREK KUSHARI) ,Not preview,1 month ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Raghaeb-for-managing-restaurants--ABU-TAREK-KUSHARI--Egypt-96991,Pharmaceutical,Not provided
Store & Warehouse Controller,DOC Business Companion ,Not preview,8 days ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/doc-business-companion-egypt-133931,Quality Control,Not provided
Pest Control Associate Manager,STM ,Not preview,9 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/stm-egypt-127922,QC,Not provided
QA & Document Control Specialist,NILEWOOD  ,Not preview,9 days ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/NILEWOOD--Egypt-85718,Pharmacy,Not provided
Quality Manager,Professional Service  Proserv ,Not preview,28 minutes ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Professional-Service---Proserv-Egypt-61702,Pharmaceutical,Not provided
Quality Monitoring Specialist,"Izam, inc. ",Not preview,2 days ago,"Smart Village, Giza, Egypt",https://wuzzuf.net/jobs/careers/Izam--inc--Egypt-39467,Full Time,Not provided
Quality Specialist,EBSS  Elite Business Solution Service ,Not preview,5 days ago,"Tanta, Gharbia, Egypt",https://wuzzuf.net/jobs/careers/Dual-it-Egypt-47491,Hybrid,Not provided
Quality Assurance Manager,GB Corp ,Not preview,3 days ago,"Suez, Egypt",https://wuzzuf.net/jobs/careers/Ghabbour-Auto-Egypt-362,Experienced,Not provided
Quality Supervisor,Emkay Foods  ,Not preview,2 days ago,"Abu Rawash, Giza, Egypt",https://wuzzuf.net/jobs/careers/Emkay-Foods-Egypt-68740,IT/Software Development,Not provided
Quality Assurance Section Head,Musandah FM  ,Not preview,4 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Musandah-FM-Egypt-130702,Quality,Not provided
Quality Assurance Manager (Petroleum Services),Confidential ,Not preview,7 days ago,"Cairo, Egypt",,Engineering - Telecom/Technology,Not preview
Russian Quality Assurance(QA) Engineer,Korea Hydro Nuclear Power co.LTD (KHNP)   ,Not preview,7 days ago,"Dabaa, Matruh, Egypt",https://wuzzuf.net/jobs/careers/-110606,Computer Science,Not provided
Quality Manager,TEPCO S.A.E. ,Not preview,8 days ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/TEPCO-S-A-E--Egypt-5396,QC,Not provided
Quality Assurance Specialist,Tank ,Not preview,10 days ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Minlo-Egypt-15232,QA,Not provided
Quality Assurance Supervisor,NILEWOOD  ,Not preview,10 days ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/NILEWOOD--Egypt-85718,Quality Control,Not provided
Quality Assurance Specialist - Shifts,IFT Corporation ,Not preview,11 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/IFT-Corporation-Egypt-16132,Quality Assurance,Not provided
Quality Assurance & Food Safety Manager (Ain Sokhna),SAVOLA ,Not preview,11 days ago,"Ain Sokhna, Suez, Egypt",https://wuzzuf.net/jobs/careers/-2383,Software Development,Not provided
Quality Assurance Manager (Manufacturing Experience),Confidential ,Not preview,11 days ago,"6th of October, Giza, Egypt",,ISTQB,Not preview
QUALITY ENGINEER,Alex form ,Not preview,14 days ago,"Ain Sokhna, Suez, Egypt",https://wuzzuf.net/jobs/careers/-86812,Full Time,Not provided
Project Controls Lead,CSI ,Not preview,22 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/CSI-Egypt-32709,On-site,Not provided
Quality Assurance Specialist,Rosemary natural cosmetics ,Not preview,16 days ago,"Damietta, Egypt",https://wuzzuf.net/jobs/careers/rosemary-natural-cosmetics-egypt-145653,Entry Level,Not provided
Quality Control - Gym operation,Your GYM ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Your-GYM-Egypt-25357,Quality,Not provided
Instrumentation & Control Engineer,Activa International ,Not preview,23 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Activa-Egypt-142003,Quality Assurance,Not provided
Quality Control Engineer,Trust  ,Not preview,1 month ago,"khanka, Qalubia, Egypt",https://wuzzuf.net/jobs/careers/Trust-Egypt-36411,Pharmaceutical Industry,Not provided
Quality Control Engineer - Steel,EEC Group ,Not preview,1 month ago,"Belbes, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/EEC-Group-Egypt-31409,Quality Control,Not provided
Quality Engineer,Confidential ,Not preview,17 days ago,"6th of October, Giza, Egypt",,Quality Management System,Not preview
"Senior Quality Operations Specialist (First, Middle & Last Mile)",J&T Express Egypt ,Not preview,17 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/J-T-Express-Egypt-Egypt-64706,Chemistry,Not provided
Quality Control Engineer,IGIGroup ,Not preview,1 month ago,"Hadayek October, Giza, Egypt",https://wuzzuf.net/jobs/careers/IGI-Group-Egypt-26707,Engineering,Not provided
Senior Software Quality Control Engineer,Confidential ,Not preview,1 month ago,"6th of October, Giza, Egypt",,Manufacturing,Not preview
Automation Software Quality Control Engineer,Confidential ,Not preview,1 month ago,"6th of October, Giza, Egypt",,Pharmaceutical,Not preview
Quality Assurance Analyst,Medexera  ,Not preview,21 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/medexera-egypt-142246,Pharmaceutical Sciences,Not provided
Quality Control Engineer,TechJump ,Not preview,1 month ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/IT-Experts-Egypt-89172,Full Time,Not provided
Senior Safety & Quality Specialist,Elsewedy Electric ,Not preview,21 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/El-Sewedy-Egypt-19852,Shift Based,Not provided
Quality Control Analyst,APEX Pharma ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,On-site,Not provided
Quality Control Engineer,Techno Taste  ,Not preview,2 months ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Techno Taste-Egypt-106761,Experienced,Not provided
Industrial Quality Engineer - Outsourced,Prometeon tyres group – Egypt ,Not preview,22 days ago,"Ameria, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Pirelli-Egypt-4786,Manufacturing/Production,Not provided
Quality Manager,CSI ,Not preview,22 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/CSI-Egypt-32709,Quality,Not provided
Quality Assurance Specialist,Etisalat Egypt ,Not preview,22 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219,Quality Control,Not provided
Quality Assurance Specialist,Mersal  ,Not preview,23 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Mersal-Egypt-45113,inspection & testing,Not provided
Credit Control Supervisor,Jazeera Paints ,Not preview,28 days ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/Jazeera-Panits-Egypt-42107,API standard,Not provided
Stock Control Manager,Ninos Kids Wear  ,Not preview,1 month ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Ninos-kids-wear-Egypt-98613,quality documantation,Not provided
Infection Control Specialist,Cleopatra Hospitals Group ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Cleopatra-Hospital-Group-Egypt-28152,oil & Gas,Not provided
Quality Supervisor,Azza Fahmy Jewellery ,Not preview,29 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Azza-Fahmy-Jewellery-Egypt-15367,thread inspection,Not provided
Quality Specialist,Mersal  ,Not preview,30 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Mersal-Egypt-45113,vernier caliper,Not provided
Healthcare Quality Operation.,El rehab medical center   ,Not preview,1 month ago,"Rehab City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/El rehab medical center-Egypt-72942,API,Not provided
Quality Assurance Engineer,MCV  Obour ,Not preview,1 month ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/MCV-Egypt-2340,Full Time,Not provided
Infection Control Specialist,Saudi German Hospital  ,Not preview,1 month ago,"Nozha, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Saudi-German-Hospital-Egypt-31807,On-site,Not provided
Quality Assurance and Food safety Director,Confidential ,Not preview,1 month ago,"Dakahlia, Egypt",,Manager,Not preview
Consultant and Head of Quality Department,Ayady4040 ,Not preview,1 month ago,"Moharam Bek, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/-120384,Manufacturing/Production,Not provided
Quality Assurance Senior Specialist – Lead Generation Focus,Etisalat Egypt ,Not preview,1 month ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219,Quality,Not provided
Food Quality Control Specialist,El Moghrah Spice ,Not preview,2 months ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/el-moghrah-spice-egypt-144390,QC,Not provided
Quality Inspection Engineer,CSCEC International Facade Egypt Co Ltd ,Not preview,1 month ago,"Ain Sokhna, Suez, Egypt",https://wuzzuf.net/jobs/careers/-100397,API Standard,Not provided
Financial Controlling Specialist (Outsource).,Prometeon tyres group – Egypt ,Not preview,1 month ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Pirelli-Egypt-4786,ISO 9001,Not provided
Quality Control Manager,Turath Real Estate  ,Not preview,2 months ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/turath real estate-Egypt-105249,Dimensional inspection,Not provided
Quality Assurance -Pharmacist,Akhnaton Trading and distribution  EVA Group Limted ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Akhnaton-for-Trading---Distributing--Egypt-22671,NDT Testing,Not provided
Control Systems Engineer,Confidential ,Not preview,1 month ago,"Cairo, Egypt",,NCR,Not preview
Quality Engineer,etisal for advanced industries  ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/etisal-for-advanced-industries-Egypt-83648,Root Cause Analysis,Not provided
CCTV Control Specialist,Talaat Moustafa Group ,Not preview,1 month ago,"New Capital, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Talaat-Moustafa-Group-Egypt-3106,Calibration,Not provided
Quality Manager,Vision Metal Works ,Not preview,1 month ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/vision-metal-works-egypt-144686,Full Time,Not provided
Fresh Graduate Chemist (New Menia Branch).,National Paints ,Not preview,3 days ago,"New Menia, Minya, Egypt",https://wuzzuf.net/jobs/careers/National-Paints-Egypt-20169,On-site,Not provided
Quality Engineer,Arcelormittal Egypt ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Arcelormittal-Egypt-Egypt-72987,Experienced,Not provided
Garment Production & Product Development Professional.,N.A STUDIO OFFICIAL ,Not preview,3 days ago,"Garden City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/na-studio-official-egypt-145883,IT/Software Development,Not provided
Site Engineer,Global Traders ,Not preview,1 day ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/global-traders-egypt-146050,Quality,Not provided
Software Tester,Reservya ,Not preview,1 day ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/reservya-egypt-145889,Engineering - Telecom/Technology,Not provided
Production Engineer,EBSS  Elite Business Solution Service ,Not preview,4 hours ago,"Doha, Qatar",https://wuzzuf.net/jobs/careers/Dual-it-Egypt-47491,Engineering,Not provided
Project Manager,Alunaut ,Not preview,40 minutes ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Alunaut-Egypt-111424,Quality Assurance,Not provided
Site Engineer,IGIGroup ,Not preview,3 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/IGI-Group-Egypt-26707,Quality Control,Not provided
Service Center Manager,X Power Car Bosch Service ,Not preview,4 days ago,"Giza, Egypt",https://wuzzuf.net/jobs/careers/x-power-car-bosch-service-egypt-145945,Test Automation,Not provided
Senior mechanical site engineer,BARRIER21 ,Not preview,5 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/barrier21-egypt-138262,Manual Testing,Not provided
HSE Engineer,Abu Gemeaa ,Not preview,17 hours ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Abou-Gemeaa-Egypt-25779,SQL,Not provided
Installation Engineer,Professional Service  Proserv ,Not preview,8 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Professional-Service---Proserv-Egypt-61702,Defect Tracking,Not provided
EHS Specialist,Confidential ,Not preview,3 days ago,"Alsadat City, Monufya, Egypt",,Full Time,Not preview
Production Section Head,Sinomacdi ,Not preview,7 days ago,"Beni Suef, Beni Suef, Egypt",https://wuzzuf.net/jobs/careers/Sinoma-cdi-Egypt-46057,On-site,Not provided
Site Engineer,green river for urban development ,Not preview,7 days ago,"New Capital, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-126059,Experienced,Not provided
QA/QC Supervisor (Petroleum Services),Confidential ,Not preview,7 days ago,"Matruh, Egypt",,Logistics/Supply Chain,Not preview
QA Supervisor,etisal for advanced industries  ,Not preview,4 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/etisal-for-advanced-industries-Egypt-83648,Operations/Management,Not provided
Procurement Engineer,Concrete Plus ,Not preview,7 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Concrete-Plus-Egypt-17929,Quality,Not provided
QA/QC Manager (Petroleum Services),Confidential ,Not preview,7 days ago,"Cairo, Egypt",,Production,Not preview
Quality Engineer,FUTEC ,Not preview,1 month ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/FUTEC-Egypt-52605,Quality Assurance,Not provided
Factory Manager,Omega Refrigeration Supplies ,Not preview,8 days ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/-71958,Quality Control,Not provided
QA/QC Engineer – Oil & Gas,SIGMA ,Not preview,8 days ago,"Ameria, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/SIGMA-Egypt-24097,Full Time,Not provided
Construction Manager,Confidential ,Not preview,7 days ago,"Alexandria, Egypt",,On-site,Not preview
QC Engineer (Specialized Desalination Works),Confidential ,Not preview,12 days ago,"Alexandria, Egypt",,Experienced,Not preview
Site Engineer,Dubai Misr ,Not preview,10 days ago,"New Capital, Cairo, Egypt",https://wuzzuf.net/jobs/careers/dubai-misr-egypt-129911,Manufacturing/Production,Not provided
Senior Quality Control Engineer,DME Holding ,Not preview,2 months ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/HR-Section-Head-Egypt-37520,Quality,Not provided
HSE Specialist,Alfa Laboratories ,Not preview,10 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Alfa-Laboratories-Egypt-59515,Engineering - Mechanical/Electrical,Not provided
Quality Regulatory Compliance Specialist,Amoun Pharmaceutical  ,Not preview,1 month ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Amoun-Pharmaceutical-Egypt-5252,Engineering,Not provided
Quality Control Manager,National Pipe Company ,Not preview,2 months ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/National-Pipe-Company-Egypt-23463,Quality Control,Not provided
Senior Quality Assurance & Trainer,J&T Express Egypt ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/J-T-Express-Egypt-Egypt-64706,Electronics,Not provided
Senior Production Engineer / Steel Industry,Almosallamy fo ,Not preview,14 days ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/Almosallamy-fo-Egypt-27427,Six Sigma,Not provided
5/6 Axis CNC Milling Machinist,Hazem Shoukry Designs ,Not preview,13 days ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Hazem-Shoukry-Designs-Egypt-1104,Communication,Not provided
Workshop Engineer - Automotive Maintenance Center,Sea Port for Trading and Engineering ,Not preview,15 days ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Sea-Port-for-Trading-and-Engineering-Egypt-15547,Mechanical,Not provided
QA/QC Engineer (Civil / Architectural),Ark for construction and engineering ,Not preview,15 days ago,"New Nozha, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Ark-for-construction-and-engineering-Egypt-48585,Biomedical,Not provided
Technical Office Manager,EL EZZ for construction and trading  ,Not preview,8 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/concrete construction and development company-Egypt-111794,Full Time,Not provided
Procurement Section Head,EL EZZ for construction and trading  ,Not preview,16 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/concrete construction and development company-Egypt-111794,On-site,Not provided
Quality Assurance Officer (Laboratory Medical Devices),ADI Egypt ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/ADI-Egypt-Egypt-135105,Entry Level,Not provided
Industrial Engineer (Work Study & Production Improvement),Swiss Garment Company ,Not preview,16 days ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/www-arafaholding-com-5772,Manufacturing/Production,Not provided
Chemist,El Rashidi El Mizan ,Not preview,15 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/El-Rashidi-El-Mizan-Egypt-22735,Quality,Not provided
QA/ Process Improvement Specialist (Not a software testing position),Fixed Solutions ,Not preview,16 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523,Engineering - Mechanical/Electrical,Not provided
Junior Manual QA Engineer,Vertex Technologies  ,Not preview,17 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Vertex-Tech-Egypt-139038,Quality Control,Not provided
Mid-level Manual QA Engineer,Vertex Technologies  ,Not preview,17 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Vertex-Tech-Egypt-139038,Quality,Not provided
HSE Engineer - Bisco Misr,ArmaHSA ,Not preview,17 days ago,"Matareya, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Arma-Egypt-73932,Engineering,Not provided
Experienced Manufacturing Engineer,Confidential ,Not preview,18 days ago,"Alexandria, Egypt",,Mechanical Engineering,Not preview
Sr. Site Engineer,DME Holding ,Not preview,18 days ago,"North Coast, Matruh, Egypt",https://wuzzuf.net/jobs/careers/HR-Section-Head-Egypt-37520,Production,Not provided
Production Planning Officer,El Mayhop for Food Industries الميهوب للصناعات الغذائية ,Not preview,8 days ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/el-mayhop-for-food-industries-almyhob-llsnaaaat-alghthayy-egypt-144253,Quality Assurance,Not provided
Inventory Controller,Happy sweet ,Not preview,1 minute ago,"Qalubia, Egypt",https://wuzzuf.net/jobs/careers/Economic-Group-Egypt-92844,Industrial,Not provided
Warehouse Manager,ELZAGHAL co   ,Not preview,17 days ago,"Shubra, Cairo, Egypt",https://wuzzuf.net/jobs/careers/ELZAGHAL co-Egypt-107486,Full Time,Not provided
Senior QA Engineer,Dr.Greiche  ,Not preview,22 days ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/Dr-Greiche-Egypt-41590,On-site,Not provided
QA/QC Inspector – Civil,CSI ,Not preview,22 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/CSI-Egypt-32709,Entry Level,Not provided
QA/QC Inspector – Electrical / Mechanical,CSI ,Not preview,22 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/CSI-Egypt-32709,Quality,Not provided
Production Supervisor,K Line Europe ,Not preview,22 days ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-92966,Engineering - Mechanical/Electrical,Not provided
Cleaning Supervisor / Cleaning Operations Lead,Pika Clean Japan ,Not preview,22 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/pika-clean-japan-egypt-145383,Quality Control,Not provided
Technical Support Engineer,Afaqy ,Not preview,22 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Afaqy-Egypt-28121,Inspection and Testing,Not provided
Mid-Level Software Tester,Expert Apps ,Not preview,22 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Expert-Apps-Egypt-50784,Root Cause Analysis,Not provided
Production Manager – Mattress Department,aleman ,Not preview,14 days ago,"New Damietta, Damietta, Egypt",https://wuzzuf.net/jobs/careers/aleman-egypt-144889,Testing,Not provided
Senior Civil / Architectural Site Engineer,MCC ,Not preview,23 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/MCC-Egypt-94640,inspection,Not provided
Inventory Controller,MATGR For Engineering And Trading ,Not preview,2 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/MATGR-For-Engineering-And-Trading-Egypt-16607,Electrical Engineering,Not provided
Foundation Site Civil Engineer,projecto co.    ,Not preview,24 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/projecto co.-Egypt-113337,Equipment Measurement,Not provided
Remote Airbnb Operations Coordinator & Office Administrator,TamCrete Engineering ,Not preview,17 days ago,"Calgary, Canada",https://wuzzuf.net/jobs/careers/tam-crete-engineering-egypt-144227,Technical Drawing,Not provided
Technical Office Civil Engineer,cairo contracting company  ,Not preview,25 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/cairo-contracting-company-egypt-137602,Full Time,Not provided
Document Controller,ADCONS ,Not preview,15 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/adcons-egypt-135645,On-site,Not provided
